"","a","b","height","total_seg","hit/vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"1",0.01,0.01,3.5,710,"15 / 15",0,695,535.96875,1,0,0.97887323943662,"1 @ 0.49",0.1,"CHM_1_3"
"2",0.01,0.02,3.5,689,"15 / 15",0,674,536.25,1,0,0.978229317851959,"1 @ 0.49",0.1,"CHM_1_3"
"3",0.01,0.03,3.5,667,"15 / 15",0,652,536.46875,1,0,0.977511244377811,"1 @ 0.49",0.1,"CHM_1_3"
"4",0.01,0.04,3.5,636,"15 / 15",0,621,536.328125,1,0,0.976415094339623,"1 @ 0.49",0.1,"CHM_1_3"
"5",0.01,0.05,3.5,617,"15 / 15",0,602,536.5625,1,0,0.975688816855754,"1 @ 0.49",0.1,"CHM_1_3"
"6",0.01,0.06,3.5,586,"15 / 15",0,571,536.15625,1,0,0.974402730375427,"1 @ 0.49",0.1,"CHM_1_3"
"7",0.01,0.07,3.5,567,"15 / 15",0,552,536.234375,1,0,0.973544973544973,"1 @ 0.49",0.1,"CHM_1_3"
"8",0.01,0.08,3.5,545,"15 / 15",0,530,536.3125,1,0,0.972477064220184,"1 @ 0.49",0.1,"CHM_1_3"
"9",0.01,0.09,3.5,525,"15 / 15",0,510,536.265625,1,0,0.971428571428571,"1 @ 0.49",0.1,"CHM_1_3"
"10",0.01,0.1,3.5,506,"15 / 15",0,491,536.1875,1,0,0.970355731225296,"1 @ 0.49",0.1,"CHM_1_3"
"11",0.02,0.01,3.5,303,"15 / 15",0,288,535.125,1,0,0.95049504950495,"1 @ 0.48",0.1,"CHM_1_3"
"12",0.02,0.02,3.5,287,"15 / 15",0,272,535.109375,1,0,0.947735191637631,"1 @ 0.47",0.1,"CHM_1_3"
"13",0.02,0.03,3.5,270,"15 / 15",0,255,535.375,1,0,0.944444444444444,"1 @ 0.47",0.1,"CHM_1_3"
"14",0.02,0.04,3.5,257,"15 / 15",0,242,535.546875,1,0,0.941634241245136,"1 @ 0.47",0.1,"CHM_1_3"
"15",0.02,0.05,3.5,243,"15 / 15",0,228,535.609375,1,0,0.938271604938272,"1 @ 0.47",0.1,"CHM_1_3"
"16",0.02,0.06,3.5,236,"15 / 15",0,221,535.609375,1,0,0.936440677966102,"1 @ 0.47",0.1,"CHM_1_3"
"17",0.02,0.07,3.5,224,"15 / 15",0,209,535.625,1,0,0.933035714285714,"1 @ 0.47",0.1,"CHM_1_3"
"18",0.02,0.08,3.5,218,"15 / 15",0,203,535.671875,1,0,0.931192660550459,"1 @ 0.47",0.1,"CHM_1_3"
"19",0.02,0.09,3.5,208,"15 / 15",0,193,535.59375,1,0,0.927884615384615,"1 @ 0.46",0.1,"CHM_1_3"
"20",0.02,0.1,3.5,196,"15 / 15",0,181,535.796875,1,0,0.923469387755102,"1 @ 0.46",0.1,"CHM_1_3"
"21",0.03,0.01,3.5,135,"13 / 15",1,121,536.578125,0.866666666666667,0.00740740740740741,0.896296296296296,"0.87 @ 0.46",0.1,"CHM_1_3"
"22",0.03,0.02,3.5,134,"13 / 15",1,120,536.578125,0.866666666666667,0.00746268656716418,0.895522388059702,"0.87 @ 0.46",0.1,"CHM_1_3"
"23",0.03,0.03,3.5,126,"13 / 15",1,112,536.890625,0.866666666666667,0.00793650793650794,0.888888888888889,"0.87 @ 0.45",0.1,"CHM_1_3"
"24",0.03,0.04,3.5,121,"13 / 15",1,107,536.8125,0.866666666666667,0.00826446280991736,0.884297520661157,"0.87 @ 0.45",0.1,"CHM_1_3"
"25",0.03,0.05,3.5,116,"13 / 15",1,102,536.84375,0.866666666666667,0.00862068965517241,0.879310344827586,"0.87 @ 0.45",0.1,"CHM_1_3"
"26",0.03,0.06,3.5,106,"13 / 15",1,92,536.890625,0.866666666666667,0.00943396226415094,0.867924528301887,"0.87 @ 0.44",0.1,"CHM_1_3"
"27",0.03,0.07,3.5,102,"13 / 15",1,88,536.9375,0.866666666666667,0.00980392156862745,0.862745098039216,"0.87 @ 0.44",0.1,"CHM_1_3"
"28",0.03,0.08,3.5,97,"13 / 15",1,83,537.03125,0.866666666666667,0.0103092783505155,0.855670103092783,"0.87 @ 0.44",0.1,"CHM_1_3"
"29",0.03,0.09,3.5,95,"13 / 15",1,81,537.015625,0.866666666666667,0.0105263157894737,0.852631578947368,"0.87 @ 0.44",0.1,"CHM_1_3"
"30",0.03,0.1,3.5,92,"13 / 15",1,78,537.03125,0.866666666666667,0.0108695652173913,0.847826086956522,"0.87 @ 0.43",0.1,"CHM_1_3"
"31",0.04,0.01,3.5,69,"13 / 15",1,55,537.375,0.866666666666667,0.0144927536231884,0.797101449275362,"0.87 @ 0.41",0.1,"CHM_1_3"
"32",0.04,0.02,3.5,67,"13 / 15",1,53,537.359375,0.866666666666667,0.0149253731343284,0.791044776119403,"0.87 @ 0.41",0.1,"CHM_1_3"
"33",0.04,0.03,3.5,65,"13 / 15",1,51,537.375,0.866666666666667,0.0153846153846154,0.784615384615385,"0.87 @ 0.41",0.1,"CHM_1_3"
"34",0.04,0.04,3.5,64,"13 / 15",1,50,537.375,0.866666666666667,0.015625,0.78125,"0.87 @ 0.41",0.1,"CHM_1_3"
"35",0.04,0.05,3.5,63,"13 / 15",1,49,537.390625,0.866666666666667,0.0158730158730159,0.777777777777778,"0.87 @ 0.4",0.1,"CHM_1_3"
"36",0.04,0.06,3.5,60,"13 / 15",1,46,537.40625,0.866666666666667,0.0166666666666667,0.766666666666667,"0.87 @ 0.4",0.1,"CHM_1_3"
"37",0.04,0.07,3.5,60,"13 / 15",1,46,537.40625,0.866666666666667,0.0166666666666667,0.766666666666667,"0.87 @ 0.4",0.1,"CHM_1_3"
"38",0.04,0.08,3.5,57,"13 / 15",1,43,537.484375,0.866666666666667,0.0175438596491228,0.754385964912281,"0.87 @ 0.39",0.1,"CHM_1_3"
"39",0.04,0.09,3.5,57,"13 / 15",1,43,537.484375,0.866666666666667,0.0175438596491228,0.754385964912281,"0.87 @ 0.39",0.1,"CHM_1_3"
