"","a","b","height","total_seg","hit/vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"1",0.01,0.01,3.5,453,"12 / 12",0,441,368.125,1,0,0.973509933774834,"1 @ 0.49",0.1,"CHM_4_3"
"2",0.01,0.02,3.5,439,"12 / 12",0,427,368.1875,1,0,0.972665148063781,"1 @ 0.49",0.1,"CHM_4_3"
"3",0.01,0.03,3.5,423,"12 / 12",0,411,368.25,1,0,0.971631205673759,"1 @ 0.49",0.1,"CHM_4_3"
"4",0.01,0.04,3.5,401,"12 / 12",0,389,368,1,0,0.970074812967581,"1 @ 0.49",0.1,"CHM_4_3"
"5",0.01,0.05,3.5,394,"12 / 12",0,382,367.9375,1,0,0.969543147208122,"1 @ 0.48",0.1,"CHM_4_3"
"6",0.02,0.01,3.5,220,"12 / 12",0,208,368,1,0,0.945454545454545,"1 @ 0.47",0.1,"CHM_4_3"
"7",0.02,0.02,3.5,215,"12 / 12",0,203,368,1,0,0.944186046511628,"1 @ 0.47",0.1,"CHM_4_3"
"8",0.02,0.03,3.5,204,"12 / 12",0,192,368.09375,1,0,0.941176470588235,"1 @ 0.47",0.1,"CHM_4_3"
"9",0.02,0.04,3.5,192,"12 / 12",0,180,368.40625,1,0,0.9375,"1 @ 0.47",0.1,"CHM_4_3"
"10",0.02,0.05,3.5,186,"12 / 12",0,174,368.359375,1,0,0.935483870967742,"1 @ 0.47",0.1,"CHM_4_3"
"11",0.03,0.01,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"12",0.03,0.02,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"13",0.03,0.03,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"14",0.03,0.04,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"15",0.03,0.05,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"16",0.04,0.01,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"17",0.04,0.02,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"18",0.04,0.03,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"19",0.04,0.04,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"20",0.04,0.05,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"21",0.05,0.01,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
