"","X","a","b","height","total_seg","hit.vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"1",1,0.05,0.05,3.5,45,"13 / 15",1,31,542.921875,0.866666666666667,0.0222222222222222,0.688888888888889,"0.87 @ 0.37",0.1,"chm_1_3"
"2",2,0.05,0.06,3.5,44,"13 / 15",1,30,542.921875,0.866666666666667,0.0227272727272727,0.681818181818182,"0.87 @ 0.36",0.1,"chm_1_3"
"3",3,0.05,0.07,3.5,41,"13 / 15",1,27,542.9375,0.866666666666667,0.024390243902439,0.658536585365854,"0.87 @ 0.35",0.1,"chm_1_3"
"4",4,0.05,0.08,3.5,40,"13 / 15",1,26,542.9375,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"5",5,0.05,0.09,3.5,40,"13 / 15",1,26,542.9375,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"6",6,0.05,0.1,3.5,40,"13 / 15",1,26,542.9375,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"7",7,0.06,0.05,3.5,30,"11 / 15",2,17,543.0625,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"chm_1_3"
"8",8,0.06,0.06,3.5,30,"11 / 15",2,17,543.0625,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"chm_1_3"
"9",9,0.06,0.07,3.5,30,"11 / 15",2,17,543.0625,0.733333333333333,0.0666666666666667,0.566666666666667,"0.73 @ 0.35",0.1,"chm_1_3"
"10",10,0.06,0.08,3.5,29,"11 / 15",2,16,543.0625,0.733333333333333,0.0689655172413793,0.551724137931034,"0.73 @ 0.34",0.1,"chm_1_3"
"11",11,0.06,0.09,3.5,28,"11 / 15",2,15,543.0625,0.733333333333333,0.0714285714285714,0.535714285714286,"0.73 @ 0.34",0.1,"chm_1_3"
"12",12,0.06,0.1,3.5,27,"11 / 15",2,14,543.09375,0.733333333333333,0.0740740740740741,0.518518518518518,"0.73 @ 0.33",0.1,"chm_1_3"
"13",13,0.07,0.05,3.5,21,"11 / 15",2,8,543.140625,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"14",14,0.07,0.06,3.5,21,"11 / 15",2,8,543.140625,0.733333333333333,0.0952380952380952,0.380952380952381,"0.73 @ 0.29",0.1,"chm_1_3"
"15",15,0.07,0.07,3.5,20,"11 / 15",2,7,543.140625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"16",16,0.07,0.08,3.5,20,"11 / 15",2,7,543.140625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"17",17,0.07,0.09,3.5,20,"11 / 15",2,7,543.140625,0.733333333333333,0.1,0.35,"0.73 @ 0.28",0.1,"chm_1_3"
"18",18,0.07,0.1,3.5,19,"11 / 15",2,6,543.15625,0.733333333333333,0.105263157894737,0.315789473684211,"0.73 @ 0.26",0.1,"chm_1_3"
"19",19,0.08,0.05,3.5,15,"9 / 15",3,3,543.25,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"20",20,0.08,0.06,3.5,15,"9 / 15",3,3,543.25,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"21",21,0.08,0.07,3.5,15,"9 / 15",3,3,543.25,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"22",22,0.08,0.08,3.5,15,"9 / 15",3,3,543.25,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"23",23,0.08,0.09,3.5,15,"9 / 15",3,3,543.25,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
